name,NCBI.id,list.name,list.count,N.PPI,degree
DNMT3A,1788,Zhang,1,NA,NA
ADCY10,55811,Zhang,1,NA,NA
PPP2R2A,5520,Zhang,1,NA,NA
NLGN2,57555,Zhang,1,NA,NA
LEP,3952,Zhang,1,NA,NA
SYNGAP1,8831,Zhang,1,NA,NA
AHCYL2,23382,Zhang,1,NA,NA
NLGN1,22871,Zhang,1,NA,NA
DLGAP4,22839,Zhang,1,NA,NA
HDAC1,3065,Zhang,1,NA,NA
AMPD2,271,Zhang,1,NA,NA
AHCYL1,10768,Zhang,1,NA,NA
SHARPIN,81858,Zhang,1,NA,NA
NME2,4831,Zhang,1,NA,NA
NME1-NME2,654364,Zhang,1,NA,NA
CACNA2D3,55799,Zhang,1,NA,NA
NME3,4832,Zhang,1,NA,NA
ZC3H13,23091,Zhang,1,NA,NA
CAMK2A,815,Zhang,1,NA,NA
PIK3CA,5290,Zhang,1,NA,NA
MAX,4149,Zhang/PL,2,NA,NA
HLA-C,3107,Zhang,1,NA,NA
ACE,1636,Zhang,1,NA,NA
PRKCZ,5590,Zhang,1,NA,NA
NFATC3,4775,Zhang,1,NA,NA
DLGAP2,9228,Zhang/PL,2,NA,NA
GRM1,2911,Zhang,1,NA,NA
RFK,55312,Zhang,1,NA,NA
PELP1,27043,Zhang,1,NA,NA
NME1,4830,Zhang,1,NA,NA
AGO1,26523,Zhang,1,NA,NA
GDPD1,284161,Zhang,1,NA,NA
GRB2,2885,Zhang,1,NA,NA
DLG2,1740,Zhang,1,NA,NA
NCBP2,22916,Zhang,1,NA,NA
CDC6,990,Zhang,1,NA,NA
COASY,80347,Zhang,1,NA,NA
AK2,204,Zhang,1,NA,NA
ENTPD8,377841,Zhang,1,NA,NA
PANK2,80025,Zhang,1,NA,NA
PANK1,53354,Zhang,1,NA,NA
TOP1,7150,Zhang,1,NA,NA
HOMER2,9455,Zhang,1,NA,NA
GABBR1,2550,Zhang/PL,2,NA,NA
NAMPT,10135,Zhang,1,NA,NA
NME4,4833,Zhang,1,NA,NA
GDPD3,79153,Zhang,1,NA,NA
NOTCH1,4851,Zhang,1,NA,NA
NRAS,4893,Zhang,1,NA,NA
DNMT3B,1789,Zhang,1,NA,NA
GNRH1,2796,Zhang,1,NA,NA
RBPJL,11317,Zhang,1,NA,NA
PRPF4B,8899,Zhang,1,NA,NA
GALT,2592,Zhang,1,NA,NA
BCL2L1,598,Zhang,1,NA,NA
STAM2,10254,Zhang,1,NA,NA
TSC2,7249,Zhang,1,NA,NA
PSMB5,5693,Zhang,1,NA,NA
DLGAP3,58512,Zhang,1,NA,NA
PSMB7,5695,Zhang,1,NA,NA
IK,3550,Zhang,1,NA,NA
ATP4B,496,Zhang,1,NA,NA
KRT5,3852,Zhang,1,NA,NA
DVL2,1856,Zhang,1,NA,NA
NR3C2,4306,Zhang,1,NA,NA
NODAL,4838,Zhang,1,NA,NA
CDC23,8697,Zhang,1,NA,NA
NEDD9,4739,Zhang/PL,2,NA,NA
RET,5979,Zhang,1,NA,NA
CREB5,9586,Zhang,1,NA,NA
BNIP1,662,Zhang,1,NA,NA
CA2,760,Zhang,1,NA,NA
MICALL2,79778,Zhang,1,NA,NA
E2F6,1876,Zhang,1,NA,NA
PTPN11,5781,Zhang,1,NA,NA
PARD6B,84612,Zhang,1,NA,NA
DLGAP1,9229,Zhang,1,NA,NA
HP,3240,Zhang,1,NA,NA
SMARCD3,6604,Zhang,1,NA,NA
PDYN,5173,Zhang,1,NA,NA
STX10,8677,Zhang,1,NA,NA
SF3B2,10992,Zhang,1,NA,NA
NMRK2,27231,Zhang,1,NA,NA
RNF41,10193,Zhang,1,NA,NA
PSMB4,5692,Zhang,1,NA,NA
ENTPD5,957,Zhang,1,NA,NA
AK3,50808,Zhang,1,NA,NA
PPCDC,60490,Zhang,1,NA,NA
CHD8,57680,Zhang,1,NA,NA
CRKL,1399,Zhang,1,NA,NA
ING3,54556,Zhang,1,NA,NA
CDR2,1039,Zhang,1,NA,NA
PSMC3,5702,Zhang,1,NA,NA
PSMC5,5705,Zhang,1,NA,NA
SCAF1,58506,Zhang,1,NA,NA
RAPGEF1,2889,Zhang,1,NA,NA
NT5C3B,115024,Zhang,1,NA,NA
IL12A,3592,Zhang,1,NA,NA
INS,3630,Zhang,1,NA,NA
BUB3,9184,Zhang,1,NA,NA
HSF1,3297,Zhang,1,NA,NA
CHMP3,51652,Zhang,1,NA,NA
PSMD7,5713,Zhang,1,NA,NA
PDE4B,5142,Zhang,1,NA,NA
CANT1,124583,Zhang,1,NA,NA
ADGRL2,23266,Zhang,1,NA,NA
BAIAP2,10458,Zhang,1,NA,NA
PPP2R2B,5521,Zhang,1,NA,NA
ENTPD6,955,Zhang,1,NA,NA
BHMT,635,Zhang,1,NA,NA
CREB3,10488,Zhang,1,NA,NA
PSMB3,5691,Zhang,1,NA,NA
CDC14A,8556,Zhang,1,NA,NA
PANK3,79646,Zhang,1,NA,NA
SF1,7536,Zhang,1,NA,NA
AAMDC,28971,PL,1,NA,NA
ABCA1,19,PL,1,NA,NA
ABCC6,368,PL,1,NA,NA
ABHD12,26090,PL,1,NA,NA
ACOX3,8310,PL,1,NA,NA
ACTL8,81569,PL,1,NA,NA
ACTR3C,653857,PL,1,NA,NA
ADAMTS2,9509,PL,1,NA,NA
ADPRH,141,PL,1,NA,NA
ADTRP,84830,PL,1,NA,NA
AFF1,4299,PL,1,NA,NA
AFF3,3899,PL,1,NA,NA
PALM2AKAP2,445815,PL,1,NA,NA
AKAP6,9472,PL,1,NA,NA
ALDOB,229,PL,1,NA,NA
ANGPT1,284,PL,1,NA,NA
ANKS1B,56899,PL,1,NA,NA
ANO3,63982,PL,1,NA,NA
ANO4,121601,PL,1,NA,NA
ARHGAP8,23779,PL,1,NA,NA
ASB2,51676,PL,1,NA,NA
ASB3,51130,PL,1,NA,NA
ASXL3,80816,PL,1,NA,NA
ATCAY,85300,PL,1,NA,NA
ATXN1,6310,PL,1,NA,NA
BAG6,7917,PL,1,NA,NA
BCCIP,56647,PL,1,NA,NA
BNC2,54796,PL,1,NA,NA
BRF1,2972,PL,1,NA,NA
BTBD2,55643,PL,1,NA,NA
BTBD7,55727,PL,1,NA,NA
BTBD9,114781,PL,1,NA,NA
C18orf63,644041,PL,1,NA,NA
C1orf87,127795,PL,1,NA,NA
C20orf173,140873,PL,1,NA,NA
C3,718,PL,1,NA,NA
C4orf45,152940,PL,1,NA,NA
C5orf47,133491,PL,1,NA,NA
CACNA1A,773,PL,1,NA,NA
CACNA1D,776,PL,1,NA,NA
CBFA2T3,863,PL,1,NA,NA
CCDC148,130940,PL,1,NA,NA
CCDC149,91050,PL,1,NA,NA
CCDC171,203238,PL,1,NA,NA
CCDC85A,114800,PL,1,NA,NA
CD22,933,PL,1,NA,NA
CD82,3732,PL,1,NA,NA
CD8B,926,PL,1,NA,NA
CDH12,1010,PL,1,NA,NA
CDH13,1012,PL,1,NA,NA
CELF2,10659,PL,1,NA,NA
CEP19,84984,PL,1,NA,NA
CH25H,9023,PL,1,NA,NA
CHCHD6,84303,PL,1,NA,NA
CHL1,10752,PL,1,NA,NA
CKAP4,10970,PL,1,NA,NA
CNTN4,152330,PL,1,NA,NA
COL19A1,1310,PL,1,NA,NA
COL4A4,1286,PL,1,NA,NA
COLEC12,81035,PL,1,NA,NA
COX17,10063,PL,1,NA,NA
CRYBG2,55057,PL,1,NA,NA
CSE1L,1434,PL,1,NA,NA
CSMD1,64478,PL,1,NA,NA
CTNNA2,1496,PL,1,NA,NA
CYB5RL,606495,PL,1,NA,NA
CYFIP1,23191,PL,1,NA,NA
CYP7B1,9420,PL,1,NA,NA
DAB1,1600,PL,1,NA,NA
DCC,1630,PL,1,NA,NA
DDAH1,23576,PL,1,NA,NA
DDR1,780,PL,1,NA,NA
DENND2A,27147,PL,1,NA,NA
DHX32,55760,PL,1,NA,NA
DISP2,85455,PL,1,NA,NA
DMAC1,90871,PL,1,NA,NA
DNAH11,8701,PL,1,NA,NA
DNAJA4,55466,PL,1,NA,NA
DNAJC25,548645,PL,1,NA,NA
DOCK2,1794,PL,1,NA,NA
DPP3,10072,PL,1,NA,NA
DPP6,1804,PL,1,NA,NA
EEPD1,80820,PL,1,NA,NA
EFCAB5,374786,PL,1,NA,NA
EHMT1,79813,PL,1,NA,NA
EPHB1,2047,PL,1,NA,NA
F13A1,2162,PL,1,NA,NA
FAM172A,83989,PL,1,NA,NA
FARP1,10160,PL,1,NA,NA
FBXO7,25793,PL,1,NA,NA
FHIT,2272,PL,1,NA,NA
FNTB,2342,PL,1,NA,NA
FOCAD,54914,PL,1,NA,NA
FRAS1,80144,PL,1,NA,NA
FREM3,166752,PL,1,NA,NA
FRMD4A,55691,PL,1,NA,NA
FTO,79068,PL,1,NA,NA
FUT8,2530,PL,1,NA,NA
GABRB1,2560,PL,1,NA,NA
GALNT18,374378,PL,1,NA,NA
GCNT1,2650,PL,1,NA,NA
GINS1,9837,PL,1,NA,NA
GNL3,26354,PL,1,NA,NA
GPSM2,29899,PL,1,NA,NA
GRIA1,2890,PL,1,NA,NA
GRIK1,2897,PL,1,NA,NA
GRK4,2868,PL,1,NA,NA
GRM7,2917,PL,1,NA,NA
HACD1,9200,PL,1,NA,NA
H2BC5,3017,PL,1,NA,NA
HS3ST4,9951,PL,1,NA,NA
IGF1R,3480,PL,1,NA,NA
IGF2BP3,10643,PL,1,NA,NA
INPP4B,8821,PL,1,NA,NA
KANSL1,284058,PL,1,NA,NA
KAZN,23254,PL,1,NA,NA
KCNIP4,80333,PL,1,NA,NA
KCNJ16,3773,PL,1,NA,NA
KLHDC4,54758,PL,1,NA,NA
KSR1,8844,PL,1,NA,NA
LAIR1,3903,PL,1,NA,NA
LOXL2,4017,PL,1,NA,NA
LPA,4018,PL,1,NA,NA
LPP,4026,PL,1,NA,NA
LRMDA,83938,PL,1,NA,NA
LRRC74A,145497,PL,1,NA,NA
LYPD5,284348,PL,1,NA,NA
MAML2,84441,PL,1,NA,NA
MDGA2,161357,PL,1,NA,NA
MED13L,23389,PL,1,NA,NA
MED25,81857,PL,1,NA,NA
MICB,4277,PL,1,NA,NA
MMAB,326625,PL,1,NA,NA
MOV10,4343,PL,1,NA,NA
MRPL37,51253,PL,1,NA,NA
MSI2,124540,PL,1,NA,NA
MTX2,10651,PL,1,NA,NA
MUC16,94025,PL,1,NA,NA
MYT1L,23040,PL,1,NA,NA
NBEAL2,23218,PL,1,NA,NA
NCKAP5,344148,PL,1,NA,NA
NCOR2,9612,PL,1,NA,NA
NDST3,9348,PL,1,NA,NA
NECTIN1,5818,PL,1,NA,NA
NFIA,4774,PL,1,NA,NA
NOP9,161424,PL,1,NA,NA
NOS1AP,9722,PL,1,NA,NA
NTN1,9423,PL,1,NA,NA
NTRK3,4916,PL,1,NA,NA
OR10A6,390093,PL,1,NA,NA
OR5AC2,81050,PL,1,NA,NA
OR5V1,81696,PL,1,NA,NA
PARD3B,117583,PL,1,NA,NA
PARM1,25849,PL,1,NA,NA
PARS2,25973,PL,1,NA,NA
PAX5,5079,PL,1,NA,NA
PCSK6,5046,PL,1,NA,NA
PDE1C,5137,PL,1,NA,NA
PDIA3,2923,PL,1,NA,NA
PEBP4,157310,PL,1,NA,NA
PIGX,54965,PL,1,NA,NA
PKM,5315,PL,1,NA,NA
PLCB1,23236,PL,1,NA,NA
PLD5,200150,PL,1,NA,NA
POPDC2,64091,PL,1,NA,NA
PPM1N,147699,PL,1,NA,NA
PPP1R36,145376,PL,1,NA,NA
PSMB9,5698,PL,1,NA,NA
PTPRD,5789,PL,1,NA,NA
PTPRG,5793,PL,1,NA,NA
PUS10,150962,PL,1,NA,NA
RAI14,26064,PL,1,NA,NA
RAP1GAP2,23108,PL,1,NA,NA
RASGEF1B,153020,PL,1,NA,NA
RASGRF2,5924,PL,1,NA,NA
RB1CC1,9821,PL,1,NA,NA
RBFOX1,54715,PL,1,NA,NA
RERE,473,PL,1,NA,NA
RERGL,79785,PL,1,NA,NA
RGS7,6000,PL,1,NA,NA
RHBDD2,57414,PL,1,NA,NA
RHBDL3,162494,PL,1,NA,NA
RNF150,57484,PL,1,NA,NA
RYR2,6262,PL,1,NA,NA
RYR3,6263,PL,1,NA,NA
SAMD5,389432,PL,1,NA,NA
SASH1,23328,PL,1,NA,NA
SCAMP3,10067,PL,1,NA,NA
SEC23IP,11196,PL,1,NA,NA
SEZ6L,23544,PL,1,NA,NA
SFMBT2,57713,PL,1,NA,NA
SFTA2,389376,PL,1,NA,NA
SGSM2,9905,PL,1,NA,NA
SH3PXD2A,9644,PL,1,NA,NA
SH3RF3,344558,PL,1,NA,NA
SLC17A2,10246,PL,1,NA,NA
SLC25A24,29957,PL,1,NA,NA
SLC28A1,9154,PL,1,NA,NA
SLC35F3,148641,PL,1,NA,NA
SLC39A12,221074,PL,1,NA,NA
SLC5A10,125206,PL,1,NA,NA
SLCO2A1,6578,PL,1,NA,NA
SMARCA2,6595,PL,1,NA,NA
SNX29,92017,PL,1,NA,NA
SPOCK1,6695,PL,1,NA,NA
SPOCK3,50859,PL,1,NA,NA
SPTLC3,55304,PL,1,NA,NA
SRGAP1,57522,PL,1,NA,NA
ST6GAL1,6480,PL,1,NA,NA
STAB1,23166,PL,1,NA,NA
STIM2,57620,PL,1,NA,NA
STOX2,56977,PL,1,NA,NA
SUB1,10923,PL,1,NA,NA
SULT1C3,442038,PL,1,NA,NA
SYTL3,94120,PL,1,NA,NA
TACC1,6867,PL,1,NA,NA
TAP1,6890,PL,1,NA,NA
TENM2,57451,PL,1,NA,NA
THSD7A,221981,PL,1,NA,NA
TLR3,7098,PL,1,NA,NA
TM7SF3,51768,PL,1,NA,NA
TMEM132C,92293,PL,1,NA,NA
TMEM260,54916,PL,1,NA,NA
TMEM63C,57156,PL,1,NA,NA
TMTC1,83857,PL,1,NA,NA
TOX3,27324,PL,1,NA,NA
TPH2,121278,PL,1,NA,NA
TPX2,22974,PL,1,NA,NA
TRIM26,7726,PL,1,NA,NA
TRIM31,11074,PL,1,NA,NA
TSKU,25987,PL,1,NA,NA
TTC39C,125488,PL,1,NA,NA
TTLL11,158135,PL,1,NA,NA
TUBB,203068,PL,1,NA,NA
UGGT1,56886,PL,1,NA,NA
UNC93A,54346,PL,1,NA,NA
UROS,7390,PL,1,NA,NA
USP45,85015,PL,1,NA,NA
USP47,55031,PL,1,NA,NA
UTRN,7402,PL,1,NA,NA
VIT,5212,PL,1,NA,NA
XYLT1,64131,PL,1,NA,NA
YWHAB,7529,PL,1,NA,NA
ZC3H3,23144,PL,1,NA,NA
ZC3H7A,29066,PL,1,NA,NA
ZIC4,84107,PL,1,NA,NA
ZMAT4,79698,PL,1,NA,NA
ZNF282,8427,PL,1,NA,NA
ZNF283,284349,PL,1,NA,NA
ZNF385B,151126,PL,1,NA,NA
ZNF423,23090,PL,1,NA,NA
ZPLD1,131368,PL,1,NA,NA
ZSCAN5C,649137,PL,1,NA,NA
ZZEF1,23140,PL,1,NA,NA
