score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90077883,GCST90077884,GCST90079766,GCST90435755,GCST90475205,GCST90475208,GCST90013882,GCST90013932,GCST90475721,GCST90475720,GCST90475202,GCST90475206,GCST90475207,GCST90476371,GCST90479572,GCST90475204,GCST90480682,GCST90479546,GCST90479924,GCST90476898,GCST90479694,GCST90475242,GCST90475489,GCST90479547,GCST90476662,GCST90475719,GCST90651139,GCST90475203,GCST90296604,GCST90479374,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.836083953323415,ENSG00000130164,LDLR,protein_coding,0.898458219643586,NA,NA,GCST90077883/GCST90077884/GCST90079766/GCST90435755/GCST90475205/GCST90475208/GCST90013882/GCST90013932/GCST90475721/GCST90435755/GCST90013932/GCST90475721/GCST90475720/GCST90475202/GCST90475205/GCST90475206/GCST90475207/GCST90013882/GCST90435755/GCST90476371/GCST90479572/GCST90475204/GCST90480682/GCST90475208/GCST90475205/GCST90479546/GCST90479924/GCST90013932/GCST90476898/GCST90013882/GCST90479694/GCST90475205/GCST90475208/GCST90475204/GCST90475242/GCST90475489/GCST90475204/GCST90475205/GCST90479547/GCST90475721/GCST90475204,0.917593061923981/0.916185557842255/0.916185557842255/0.900414407253265/0.897439956665039/0.897439956665039/0.897439956665039/0.897439956665039/0.895316004753113/0.865403354167938/0.862717509269714/0.862717509269714/0.836883008480072/0.836883008480072/0.835035085678101/0.834905445575714/0.831995487213135/0.823048532009125/0.821682691574097/0.821682691574097/0.821682691574097/0.820964694023132/0.820005536079407/0.820005536079407/0.819628953933716/0.819560647010803/0.813889622688293/0.809873938560486/0.807759881019592/0.803351163864136/0.794166207313538/0.78913813829422/0.78913813829422/0.778462171554565/0.776555120944977/0.776555120944977/0.776394009590149/0.769260168075562/0.741020679473877/0.629492521286011/0.565429091453552,0.9175931,0.9161856,0.9161856,0.8216827,0.7692602,0.7891381,0.8033512,0.8098739,0.6294925,0.836883,0.836883,0.8349054,0.8319955,0.8216827,0.8216827,0.5654291,0.8200055,0.8195606,0.8138896,0.8077599,0.7941662,0.7765551,0.7765551,0.7410207,NA,NA,NA,NA,NA,NA,30,LDLR,3949,GWAS,1,147,14
0.801070841515237,ENSG00000084674,APOB,protein_coding,0.943957763009634,NA,NA,GCST90013882/GCST90475205/GCST90475208/GCST90475721/GCST90013932/GCST90435755/GCST90013882/GCST90475208/GCST90077883/GCST90476371/GCST90475205/GCST90475489/GCST90079766/GCST90013932/GCST90077884/GCST90013932/GCST90013882/GCST90475205/GCST90013932/GCST90013882/GCST90013882/GCST90475489/GCST90013932/GCST90475208/GCST90435755/GCST90475208/GCST90476371/GCST90475721/GCST90475208/GCST90013932/GCST90475204/GCST90479547/GCST90475205/GCST90479546/GCST90479924/GCST90013882/GCST90475205/GCST90475208/GCST90475208/GCST90475202/GCST90475205,0.958522140979767/0.958522140979767/0.958522140979767/0.958522140979767/0.958522140979767/0.95523875951767/0.95422488451004/0.95422488451004/0.95422488451004/0.95422488451004/0.95422488451004/0.95422488451004/0.95422488451004/0.95422488451004/0.95422488451004/0.949282169342041/0.949282169342041/0.94468104839325/0.937419295310974/0.935725748538971/0.923259377479553/0.917808711528778/0.917808711528778/0.917808711528778/0.906143188476562/0.899527251720428/0.864187300205231/0.839818775653839/0.839818775653839/0.83280086517334/0.832628488540649/0.831361889839172/0.831361889839172/0.831361889839172/0.827965617179871/0.816588521003723/0.809961676597595/0.802260756492615/0.797351658344269/0.558065891265869/0.517500698566437,0.9542249,0.9542249,0.9542249,0.9061432,0.5175007,0.7973517,0.8165885,0.8328009,0.8398188,NA,0.5580659,NA,NA,0.8641873,NA,0.8326285,NA,0.8313619,0.8279656,NA,NA,NA,0.9178087,0.8313619,NA,NA,NA,NA,NA,NA,23,APOB,338,GWAS,1,500,44
0.800092551092172,ENSG00000169174,PCSK9,protein_coding,0.94267006731521,NA,NA,GCST90476371/GCST90479547/GCST90479694/GCST90479924/GCST90475205/GCST90013932/GCST90479546/GCST90475721/GCST90435755/GCST90013882/GCST90475242/GCST90475489/GCST90475208/GCST90479572/GCST90013932/GCST90013882/GCST90475720/GCST90475207/GCST90475204/GCST90475207/GCST90475204/GCST90475205/GCST90475208/GCST90475208/GCST90475205/GCST90475721/GCST90475205/GCST90013882/GCST90013932/GCST90475205/GCST90475208/GCST90475721/GCST90475205,0.955084323883057/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.953564405441284/0.951497673988342/0.951497673988342/0.946546137332916/0.946546137332916/0.946546137332916/0.946546137332916/0.946546137332916/0.918380737304688/0.862809896469116/0.856804013252258/0.856804013252258/0.853819608688354/0.841693580150604/0.733575820922852/0.733575820922852/0.723057746887207/0.712080955505371/0.701453387737274/0.598492026329041,NA,NA,NA,0.9535644,0.598492,0.712081,0.7335758,0.7335758,0.7014534,0.9465461,NA,NA,0.9465461,0.9550843,0.9535644,0.9465461,NA,0.9535644,0.9535644,NA,0.9535644,0.9535644,0.9535644,0.9535644,NA,NA,NA,NA,NA,NA,14,PCSK9,255738,GWAS,1,156,33
0.746493065330708,ENSG00000113161,HMGCR,protein_coding,0.888061410303763,NA,NA,GCST90475205/GCST90479547/GCST90475208/GCST90479546/GCST90479924/GCST90013882/GCST90013932/GCST90475202/GCST90475206/GCST90435755/GCST90475721/GCST90475242,0.940742254257202/0.940742254257202/0.940530121326447/0.934756517410278/0.914550840854645/0.852377712726593/0.850354969501495/0.848660171031952/0.83820378780365/0.832610905170441/0.825782001018524/0.801720082759857,NA,NA,NA,0.8326109,0.9407423,0.9405301,0.8523777,0.850355,0.825782,NA,0.8486602,0.8382038,NA,NA,NA,NA,NA,0.9347565,0.9145508,NA,NA,0.8017201,NA,0.9407423,NA,NA,NA,NA,NA,NA,11,HMGCR,3156,GWAS,1,349,27
0.724702313852465,ENSG00000015520,NPC1L1,protein_coding,0.792450988619841,NA,NA,GCST90479546/GCST90475208/GCST90013932/GCST90013882/GCST90479547/GCST90475205,0.885580599308014/0.857402145862579/0.846570014953613/0.846570014953613/0.838934183120728/0.830132603645325,NA,NA,NA,NA,0.8301326,0.8574021,0.84657,0.84657,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8855806,NA,NA,NA,NA,NA,0.8389342,NA,NA,NA,NA,NA,NA,5,NPC1L1,29881,GWAS,1,74,19
0.671735136750389,ENSG00000143921,ABCG8,protein_coding,0.904546432187431,NA,NA,GCST90475205/GCST90475208/GCST90475721/GCST90013882/GCST90013932/GCST90435755/GCST90479924/GCST90475489/GCST90479547/GCST90475721/GCST90013932/GCST90013882/GCST90475207/GCST90475208/GCST90435755/GCST90475205/GCST90479546/GCST90479694/GCST90475205/GCST90475205,0.938450872898102/0.938450872898102/0.930948972702026/0.929903149604797/0.929903149604797/0.888386011123657/0.87468034029007/0.87468034029007/0.87468034029007/0.87468034029007/0.87468034029007/0.87468034029007/0.87468034029007/0.871396780014038/0.871396780014038/0.871396780014038/0.871396780014038/0.87099826335907/0.854649066925049/0.832155108451843,NA,NA,NA,0.8713968,0.8321551,0.8713968,0.8746803,0.8746803,0.8746803,NA,NA,NA,0.8746803,NA,NA,NA,NA,0.8713968,0.8746803,NA,0.8709983,NA,0.8746803,0.8746803,NA,NA,NA,NA,NA,NA,9,ABCG8,64241,GWAS,1,129,20
0.61191576584551,ENSG00000130203,APOE,protein_coding,0.946079520768971,NA,NA,GCST90476662/GCST90475719/GCST90480682/GCST90475489/GCST90079766/GCST90475206/GCST90476371/GCST90077883/GCST90077884/GCST90475207/GCST90479924/GCST90479546/GCST90475204/GCST90475720/GCST90435755/GCST90651139/GCST90479572/GCST90475242/GCST90475721/GCST90479694/GCST90475202/GCST90476898/GCST90475207/GCST90435755/GCST90475204/GCST90013882/GCST90475208/GCST90475205/GCST90013882/GCST90013932,0.966749250888824/0.964130818843842/0.962726771831512/0.96094411611557/0.958752930164337/0.95843493938446/0.958043396472931/0.957147896289825/0.957147896289825/0.957147896289825/0.957147896289825/0.957147896289825/0.957147896289825/0.957147896289825/0.957147896289825/0.95709639787674/0.956818103790283/0.956818103790283/0.956818103790283/0.956818103790283/0.955049455165863/0.955049455165863/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.925600588321686/0.896151006221771,0.9571479,0.9571479,0.9587529,0.9468684,0.9468684,0.9468684,0.9256006,0.896151,0.9568181,0.9571479,0.9550495,0.9584349,0.9468684,0.9580434,0.9568181,0.9468684,0.9627268,0.9571479,0.9571479,0.9550495,0.9568181,0.9568181,0.9609441,NA,0.9667493,0.9641308,0.9570964,NA,NA,NA,14,APOE,348,GWAS,1,500,35
0.583941875183066,ENSG00000134243,SORT1,protein_coding,0.956993048250297,NA,NA,GCST90475207/GCST90013932/GCST90013882/GCST90475204/GCST90475208/GCST90475720/GCST90479546/GCST90475206/GCST90476371/GCST90475721/GCST90479547/GCST90475242/GCST90475489/GCST90475202/GCST90479924/GCST90479572/GCST90435755/GCST90480682/GCST90479694/GCST90475719,0.986461043357849/0.986009180545807/0.986009180545807/0.985707104206085/0.985707104206085/0.985435009002686/0.985209047794342/0.984540283679962/0.984533548355103/0.984442174434662/0.984385311603546/0.984177350997925/0.984008193016052/0.983881711959839/0.983881711959839/0.983823359012604/0.983470141887665/0.98346483707428/0.983095228672028/0.980863451957703,NA,NA,NA,0.9834701,NA,0.9857071,0.9860092,0.9860092,0.9844422,0.985435,0.9838817,0.9845403,0.986461,0.9845335,0.9838234,0.9857071,0.9834648,0.985209,0.9838817,NA,0.9830952,0.9841774,0.9840082,0.9843853,NA,0.9808635,NA,NA,NA,NA,17,SORT1,6272,GWAS,1,191,13
0.568104116839109,ENSG00000257017,HP,protein_coding,0.933120289997995,NA,NA,GCST90013882/GCST90013932/GCST90435755/GCST90013882/GCST90013932/GCST90475489/GCST90475721/GCST90475205/GCST90479546/GCST90475205/GCST90475207/GCST90479924/GCST90475204/GCST90475721,0.977221727371216/0.977221727371216/0.969248116016388/0.96768581867218/0.967639684677124/0.952669441699982/0.921023666858673/0.918778538703918/0.907987117767334/0.895589888095856/0.827868342399597/0.826919198036194/0.821113407611847/0.81464546918869,NA,NA,NA,0.9692481,0.8955899,NA,0.9676858,0.9676397,0.8146455,NA,NA,NA,0.8278683,NA,NA,0.8211134,NA,0.9079871,0.8269192,NA,NA,NA,0.9526694,NA,NA,NA,NA,NA,NA,NA,13,HP,3240,GWAS,1,241,9
0.567686183284874,ENSG00000143126,CELSR2,protein_coding,0.932280838336867,NA,NA,GCST90476371/GCST90475207/GCST90479572/GCST90475204/GCST90475202/GCST90475242/GCST90475206/GCST90475208/GCST90479924/GCST90013882/GCST90013932/GCST90479694/GCST90480682/GCST90475720/GCST90475721/GCST90475489/GCST90479546/GCST90435755/GCST90479547/GCST90475719/GCST90475205/GCST90475205/GCST90475205,0.960008084774017/0.958115100860596/0.957084059715271/0.956891775131226/0.956121325492859/0.955043435096741/0.954733669757843/0.95369154214859/0.95369154214859/0.953304290771484/0.953304290771484/0.938628256320953/0.938628256320953/0.93690550327301/0.934508264064789/0.934423446655273/0.892006576061249/0.890858590602875/0.879169762134552/0.842120230197906/0.77048534154892/0.719626307487488/0.652862370014191,NA,NA,NA,0.8908586,0.6528624,0.9536915,0.9533043,0.9533043,0.9345083,0.9369055,0.9561213,0.9547337,0.9581151,0.9600081,0.9570841,0.9568918,0.9386283,0.8920066,0.9536915,NA,0.9386283,0.9550434,0.9344234,0.8791698,NA,0.8421202,NA,NA,NA,NA,20,CELSR2,1952,GWAS,1,63,16
0.564029431957837,ENSG00000198670,LPA,protein_coding,0.921309776785255,NA,NA,GCST90475205/GCST90475489/GCST90475721/GCST90476371/GCST90475205/GCST90475208/GCST90475208/GCST90435755/GCST90013932/GCST90013882/GCST90013932/GCST90013882/GCST90435755/GCST90475208/GCST90475205/GCST90475720/GCST90013932/GCST90013882/GCST90435755/GCST90479924/GCST90475489/GCST90476371/GCST90479572/GCST90475242/GCST90479546/GCST90480682/GCST90479547/GCST90475721/GCST90479694/GCST90475208/GCST90475205/GCST90475204,0.958735764026642/0.951425790786743/0.915184617042542/0.905530214309692/0.877649486064911/0.862737417221069/0.862590074539185/0.862590074539185/0.862590074539185/0.85852587223053/0.85852587223053/0.85214227437973/0.840068876743317/0.791209578514099/0.791209578514099/0.784238219261169/0.738035082817078/0.730767607688904/0.706341922283173/0.690698146820068/0.690698146820068/0.690698146820068/0.690698146820068/0.690698146820068/0.690698146820068/0.690698146820068/0.690698146820068/0.690698146820068/0.690698146820068/0.657708764076233/0.657708764076233/0.63821667432785,NA,NA,NA,0.7063419,0.6577088,0.6577088,0.7307676,0.7380351,0.6906981,0.7842382,NA,NA,NA,0.6906981,0.6906981,0.6382167,0.6906981,0.6906981,0.6906981,NA,0.6906981,0.6906981,0.6906981,0.6906981,NA,NA,NA,NA,NA,NA,18,LPA,4018,GWAS,1,110,17
0.54027509761197,ENSG00000138075,ABCG5,protein_coding,0.687439054860771,NA,NA,GCST90435755,0.889727711677551,NA,NA,NA,0.8897277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ABCG5,64240,GWAS,1,136,21
0.538467510431049,ENSG00000175003,SLC22A1,protein_coding,0.885738167150812,NA,NA,GCST90013882/GCST90013932/GCST90475208/GCST90475205/GCST90077883/GCST90077884/GCST90079766/GCST90475208/GCST90435755/GCST90475205/GCST90479924,0.939789056777954/0.939789056777954/0.936959862709045/0.930763423442841/0.890923142433167/0.890923142433167/0.890923142433167/0.859651923179626/0.859651923179626/0.859651923179626/0.536329627037048,0.8909231,0.8909231,0.8909231,0.8596519,0.8596519,0.8596519,0.9397891,0.9397891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5363296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,SLC22A1,6580,GWAS,1,80,4
0.528820134922503,ENSG00000175445,LPL,protein_coding,0.860370090596874,NA,NA,GCST90077883/GCST90077884/GCST90475205/GCST90013882/GCST90013932/GCST90479547/GCST90479546/GCST90475205,0.818941950798035/0.804956495761871/0.793515205383301/0.79175215959549/0.79175215959549/0.782713174819946/0.768415629863739/0.659363210201263,0.818942,0.8049565,NA,NA,0.6593632,NA,0.7917522,0.7917522,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7684156,NA,NA,NA,NA,NA,0.7827132,NA,NA,NA,NA,NA,NA,7,LPL,4023,GWAS,1,274,28
0.526279053387424,ENSG00000145850,TIMD4,protein_coding,0.865689080821398,NA,NA,GCST90475208/GCST90475205/GCST90013882/GCST90013932/GCST90479547/GCST90479546,0.955439209938049/0.954533100128174/0.954152345657349/0.954152345657349/0.949106633663177/0.946965754032135,NA,NA,NA,NA,0.9545331,0.9554392,0.9541523,0.9541523,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9469658,NA,NA,NA,NA,NA,0.9491066,NA,NA,NA,NA,NA,NA,5,TIMD4,91937,GWAS,1,102,3
0.522190134520497,ENSG00000166035,LIPC,protein_coding,0.850505726025324,NA,NA,GCST90475208/GCST90013882/GCST90013932/GCST90475205/GCST90479546/GCST90013882/GCST90013932/GCST90475205/GCST90475208/GCST90479547,0.914689898490906/0.910313904285431/0.910313904285431/0.90896213054657/0.783864617347717/0.783864617347717/0.783864617347717/0.781766355037689/0.780996739864349/0.780996739864349,NA,NA,NA,NA,0.7817664,0.7809967,0.7838646,0.7838646,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7838646,NA,NA,NA,NA,NA,0.7809967,NA,NA,NA,NA,NA,NA,6,LIPC,3990,GWAS,1,167,33
0.514135873926364,ENSG00000154262,ABCA6,protein_coding,0.840851026296343,NA,NA,GCST90077884/GCST90013932/GCST90013882/GCST90077883/GCST90079766/GCST90475721/GCST90479924/GCST90475205/GCST90475208/GCST90013882,0.897192180156708/0.897192180156708/0.897192180156708/0.897192180156708/0.879355847835541/0.856239140033722/0.844358325004578/0.642991781234741/0.642991781234741/0.552715241909027,0.8971922,0.8971922,0.8793558,NA,0.6429918,0.6429918,0.5527152,0.8971922,0.8562391,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8443583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,ABCA6,23460,GWAS,1,16,0
0.509639142121254,ENSG00000261701,HPR,protein_coding,0.838317690308624,NA,NA,GCST90479546/GCST90475208/GCST90475205/GCST90475721/GCST90475205/GCST90013932/GCST90013882/GCST90435755,0.910347104072571/0.908584177494049/0.88551253080368/0.819601058959961/0.789280533790588/0.719015598297119/0.719015598297119/0.694117665290833,NA,NA,NA,0.6941177,0.7892805,0.9085842,0.7190156,0.7190156,0.8196011,NA,NA,NA,NA,NA,NA,NA,NA,0.9103471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,HPR,3250,GWAS,1,85,12
0.505951851189464,ENSG00000141505,ASGR1,protein_coding,0.824220931425312,NA,NA,GCST90475205/GCST90475208,0.954531371593475/0.952792823314667,NA,NA,NA,NA,0.9545314,0.9527928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ASGR1,432,GWAS,1,68,8
0.500195243297889,ENSG00000132855,ANGPTL3,protein_coding,0.528188402292024,NA,NA,GCST90475242/GCST90479546,0.612970232963562/0.516870200634003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5168702,NA,NA,NA,0.6129702,NA,NA,NA,NA,NA,NA,NA,NA,2,ANGPTL3,27329,GWAS,1,75,27
0.497660287696285,ENSG00000165029,ABCA1,protein_coding,0.81117493842909,NA,NA,GCST90475208/GCST90013932/GCST90479547/GCST90013882/GCST90475205/GCST90479546,0.888899624347687/0.859651923179626/0.859651923179626/0.859651923179626/0.859651923179626/0.802325785160065,NA,NA,NA,NA,0.8596519,0.8888996,0.8596519,0.8596519,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8023258,NA,NA,NA,NA,NA,0.8596519,NA,NA,NA,NA,NA,NA,3,ABCA1,19,GWAS,1,227,25
